"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"195","GOMX-1 (GATOSS, Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)","GomSpace ApS","Company","Denmark","2U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"196","HiNCube","Narvik University College","University","Norway","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"197","HumSat-D","University of Vigo","University","Spain","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"198","ICUBE-1","Islamabad Institute of Science and Technology","Institute","Pakistan","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"199","MOVE (First-MOVE, Munich Orbital Verification Experiment)","Technical University of München","University","Germany","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"200","NEE-02 Krysaor","Ecuadorian Space Agency","Agency","Ecuador","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"201","OPTOS (Optical Nanosatellite)","National Institute of Aerospace Technology","Agency","Spain","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"202","PUCP-Pocket","Pontifical Catholic University of Peru","University","Peru","0.127 kg","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"203","PUCPSat-1","Pontifical Catholic University of Peru","University","Peru","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"204","QubeScout 1","Maryland State University","University","US","PocketQube 2.5p","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"205","ZACUBE-1 (TshepisoSat)","Cape Peninsula University of Technology","University","South Africa","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"206","T-LogoQube (BeakerSat 1, MagPocketQube, Eagle-1)","Sonoma State University","University","US","PocketQube 2.5p","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"207","Triton-1","ISIS","Company","Netherlands","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"208","UWE-3","University of Würzburg","University","Germany","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"209","VELOX-P2","Nanyang Technological University","University","Singapore","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"210","WNISAT 1 (Weather News Inc. Satellite 1)","Weather News Inc.","Company","Japan","10 kg","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Activity"
"211","Wren","STADOKO UG","Company","Germany","PocketQube 1p","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"212","AeroCube-5A","The Aerospace Corporation","Non-profit","US","1.5U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"213","AeroCube-5B","The Aerospace Corporation","Non-profit","US","1.5U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"214","ALICE (AFIT LEO iMESA CNT Experiment)","Air Force Institute of Technology","University","US","3U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"215","CUNYSAT 1","City University of New York (CUNY)","University","US","1U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"216","FIREBIRD A (FU1, Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","Montana State University/ University of New Hampshire","University","US","1.5U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Science"
"217","FIREBIRD B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","Montana State University/ University of New Hampshire","University","US","1.5U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Science"
"218","IPEX (CP8, Intelligent Payload Experiment)","California Polytechnic State University","University","US","1U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"219","M-Cubed 2","University of Michigan","University","US","1U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"220","SMDC-ONE 3.1 (Charlie)","Space & Missile Defense Command","Military","US","3U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"221","SMDC-ONE 3.2 (David)","Space & Missile Defense Command","Military","US","3U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"222","SNAP","STP/ Space & Missile Defense Command","Military","US","3U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"223","TacSat-6","Space & Missile Defense Command","Military","US","3U","12/06/13","Atlas V","467 x 883 km, 120.5 degree inclination","Space Technology"
"224","Flock-1 Dove-25","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"225","Flock-1 Dove-26","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"226","Flock-1 Dove-27","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"227","Flock-1 Dove-28","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"228","Flock-1 Dove-3","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"229","Flock-1 Dove-4","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"230","Flock-1 Dove-5","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"231","Flock-1 Dove-6","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"232","Flock-1 Dove-7","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"233","Flock-1 Dove-8","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"234","Flock-1 Dove-9","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"235","LitSat-1","Kaunas University of Technology","Institute","Lithuania","1U","01/09/14","Antares","ISS","Space Technology"
"236","LituanicaSAT-1","Kaunas University of Technology","University","Lithuania","1U","01/09/14","Antares","ISS","Space Technology"
"237","SkyCube","Southern Stars Group, LLC","Company","US","1U","01/09/14","Antares","ISS","Space Activity"
"238","UAPSAT-1","Alas Peruanas University","University","Peru","1U","01/09/14","Antares","ISS","Space Technology"
"239","ArduSat 2","Spire (Nanosatisfi)","Company","US","2U","01/09/14","Antares","ISS","Space Activity"
"240","Flock-1 Dove-1","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"241","Flock-1 Dove-10","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"242","Flock-1 Dove-11","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"243","Flock-1 Dove-12","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"244","Flock-1 Dove-13","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"245","Flock-1 Dove-14","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"246","Flock-1 Dove-15","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"247","Flock-1 Dove-16","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"248","Flock-1 Dove-17","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"249","Flock-1 Dove-18","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"250","Flock-1 Dove-19","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"251","Flock-1 Dove-2","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"252","Flock-1 Dove-20","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"253","Flock-1 Dove-21","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"254","Flock-1 Dove-22","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"255","Flock-1 Dove-23","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"256","Flock-1 Dove-24","Planet Labs","Company","US","3U","01/09/14","Antares","ISS","Space Activity"
"257","Chasqui-I","Peru National University of Engineering","University","Peru","1U","02/05/14","Sojuz-U","ISS","Space Technology"
"258","ARTSAT1: Invader (INteractiVe satellite for Art and Design Experimental Research)","Tama Art University","University","Japan","1U","02/27/14","H-2A","408 km, non-SSO, 65 degree inclination","Space Activity"
"259","ITF-1 (YUI, Imagine The Future-1, IFT)","University of Tsukuba","University","Japan","1U","02/27/14","H-2A","408 km, non-SSO, 65 degree inclination","Space Technology"
"260","KSAT2 (Hayato)","Kagoshima University","University","Japan","1U","02/27/14","H-2A","408 km, non-SSO, 65 degree inclination","Space Technology"
"261","OPUSAT (CosMoz)","Osaka Prefecture University","University","Japan","1U","02/27/14","H-2A","408 km, non-SSO, 65 degree inclination","Space Technology"
"262","STARS-II","Kagawa University","University","Japan","9kg","02/27/14","H-2A","408 km, non-SSO, 65 degree inclination","Space Technology"
"263","ALL-STAR/THEIA (Agile Low-cost Laboratory for Space Technology Acceleration and Research)","University of Colorado at Boulder","University","US","3U","04/18/14","Falcon 9","325 km, 51.6 degree inclination","Space Technology"
"264","KickSat","Cornell University","University","US","3U","04/18/14","Falcon 9","325 km, 51.6 degree inclination","Space Activity"
"265","PhoneSat-2.5","NASA Ames","Agency","US","1U","04/18/14","Falcon 9","325 km, 51.6 degree inclination","Space Technology"
"266","SporeSat","NASA Ames, Purdue University, Santa Clara University","University","US","3U","04/18/14","Falcon 9","325 km, 51.6 degree inclination","Space Science"
"267","TSAT (TSat3, Testsat-Lite, Taylor Satellite)","Taylor University","University","US","2U","04/18/14","Falcon 9","325 km, 51.6 degree inclination","Space Technology"
"268","SPROUT","Nihon University","University","Japan","6.7 kg","05/24/14","H-2A","628 km, 97.9 degree inclination","Space Technology"
"269","AeroCube-6A","The Aerospace Corporation","Non-profit","US","0.5U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"270","AeroCube-6B","The Aerospace Corporation","Non-profit","US","0.5U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"271","Antelsat","University of the Republic","University","Uruguay","2U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"272","BRITE-CA 1 (BRITE-Montreal, CanX-3E)","Canadian Space Agency (CSA)","Agency","Canada","10 kg","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Science"
"273","BRITE-CA 2 (BRITE-Toronto, CanX-3F)","Canadian Space Agency (CSA)","Agency","Canada","10 kg","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Science"
"274","DTUSat-2","Technical University of Denmark","University","Denmark","1U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"275","Duchifat-1","Herzliya Science Centre","School","Israel","1U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"276","Flock-1c Dove-1","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"277","Flock-1c Dove-10","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"278","Flock-1c Dove-11","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"279","Flock-1c Dove-2","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"280","Flock-1c Dove-3","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"281","Flock-1c Dove-4","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"282","Flock-1c Dove-5","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"283","Flock-1c Dove-6","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"284","Flock-1c Dove-7","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"285","Flock-1c Dove-8","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"286","Flock-1c Dove-9","Planet Labs","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"287","Lemur-1","Spire (Nanosatisfi)","Company","US","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"288","PACE (Platform for Attitude Control Experiments)","National Cheng Kung University","University","Taiwan","2U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"289","Perseus-M 1","Dauria / Aquila Space","Company","Russia","6U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"290","Perseus-M 2","Dauria / Aquila Space","Company","Russia","6U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Activity"
"291","PolyITAN-1","National Technical University of Ukraine","University","Ukraine","1U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"292","POPSAT-HIP 1","Microspace Rapid Pte Ltd.","Company","Singapore","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"293","QB50P1","Von Karman Institute","Institute","Belgium","2U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"294","QB50P2","Von Karman Institute","Institute","Belgium","2U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"295","Tigrisat","School of Aerospace Engineering of Rome","University","Italy, Iraq","3U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"296","NANOSATC-BR1","Southern Regional Space Research Center (CRS)","Institute","Brazil","1U","06/19/14","Dnepr","610 km, 97.99 degree inclination","Space Technology"
"297","CanX-4","University of Toronto Institute for Aerospace Studies","University","Canada","7 kg","06/30/14","PSLV","660 km, 98.2 degree inclination","Space Technology"
"298","CanX-5","University of Toronto Institute for Aerospace Studies","University","Canada","7 kg","06/30/14","PSLV","660 km, 98.2 degree inclination","Space Technology"
"299","VELOX PIII","Nanyang Technological University","University","Singapore","0.193 kg","06/30/14","PSLV","660 km, 98.2 degree inclination","Space Technology"
"300","VELOX-I N-Sat","Nanyang Technological University","University","Singapore","3U","06/30/14","PSLV","660 km, 98.2 degree inclination","Space Technology"
"301","AISSat-2","Norwegian Space Centre","Agency","Norway","6 kg","07/08/14","Sojuz-2 1b","635 km, 98.8 degree inclination","Space Activity"
"302","UKube-1 (United Kingdom Universal Bus Experiment 1)","United Kingdom Space Agency","Agency","UK","3U","07/08/14","Sojuz-2 1b","635 km, 98.8 degree inclination","Space Technology"
"303","Flock-1b Dove-12","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"304","Flock-1b Dove-13","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"305","Flock-1b Dove-14","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"306","Flock-1b Dove-15","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"307","Flock-1b Dove-16","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"308","Flock-1b Dove-17","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"309","Flock-1b Dove-18","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"310","Flock-1b Dove-19","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"311","Flock-1b Dove-2","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"312","Flock-1b Dove-20","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"313","Flock-1b Dove-21","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"314","Flock-1b Dove-22","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"315","Flock-1b Dove-23","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"316","Flock-1b Dove-24","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"317","Flock-1b Dove-25","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"318","Flock-1b Dove-26","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"319","Flock-1b Dove-27","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"320","Flock-1b Dove-28","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"321","Flock-1b Dove-3","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"322","Flock-1b Dove-4","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"323","Flock-1b Dove-5","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"324","Flock-1b Dove-6","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"325","Flock-1b Dove-7","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"326","Flock-1b Dove-8","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"327","Flock-1b Dove-9","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"328","GEARRS-1 (GEARRSAT, Globalstar Experiment And Risk Reduction Satellite)","Near Space Launch","Company","US","3U","07/13/14","Antares","ISS","Space Technology"
"329","Lambdasat","San Jose State University","University","US","3U","07/13/14","Antares","ISS","Space Technology"
"330","MicroMAS-1","Massachusetts Institute of Technology","University","US","3U","07/13/14","Antares","ISS","Space Technology"
"331","TechEdSat-4","NASA Ames Research Center","Agency","US","3U","07/13/14","Antares","ISS","Space Technology"
"332","Flock-1b Dove-1","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"333","Flock-1b Dove-10","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"334","Flock-1b Dove-11","Planet Labs","Company","US","3U","07/13/14","Antares","ISS","Space Activity"
"335","BRITE-PL-2","The Space Research Centre of the Polish Academy of Sciences","Institute","Poland","6 kg","08/19/14","Long March 4B","670 km, 97.79 degree inclination.","Space Science"
"336","Arkyd 3","Planetary Resources","Company","US","3U","10/28/14","Antares","ISS","Space Technology"
"337","Flock-1d Dove-1","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"338","Flock-1d Dove-10","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"339","Flock-1d Dove-11","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"340","Flock-1d Dove-12","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"341","Flock-1d Dove-13","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"342","Flock-1d Dove-14","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"343","Flock-1d Dove-15","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"344","Flock-1d Dove-16","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"345","Flock-1d Dove-17","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"346","Flock-1d Dove-18","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"347","Flock-1d Dove-19","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"348","Flock-1d Dove-2","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"349","Flock-1d Dove-20","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"350","Flock-1d Dove-21","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"351","Flock-1d Dove-22","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"352","Flock-1d Dove-23","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"353","Flock-1d Dove-24","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"354","Flock-1d Dove-25","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"355","Flock-1d Dove-26","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"356","Flock-1d Dove-3","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"357","Flock-1d Dove-4","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"358","Flock-1d Dove-5","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"359","Flock-1d Dove-6","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"360","Flock-1d Dove-7","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"361","Flock-1d Dove-8","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"362","Flock-1d Dove-9","Planet Labs","Company","US","3U","10/28/14","Antares","ISS","Space Activity"
"363","GOMX-2","GomSpace ApS","Company","Denmark","2U","10/28/14","Antares","ISS","Space Technology"
"364","RACE (CHARM, Radiometer Atmospheric CubeSat Experiment, CubeSat Hydrometric Atmospheric Radiometer Mission)","The University of Texas at Austin","University","US","3U","10/28/14","Antares","ISS","Space Technology"
"365","Flock-1d' 1","Planet Labs","Company","US","3U","01/10/15","Falcon 9","ISS","Space Activity"
"366","Flock-1d' 2","Planet Labs","Company","US","3U","01/10/15","Falcon 9","ISS","Space Activity"
"367","AESP-14","Technological Institute of Aeronautics","University","Brazil","1U","01/10/15","Falcon 9","ISS","Space Technology"
"368","CP10 (ExoCube)","California Polytechnic State University","University","US","3U","01/31/15","Delta II","600 km, SSO","Space Science"
"369","FIREBIRD-2 C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","Montana State University/ University of New Hampshire","University","US","1.5U","01/31/15","Delta II","600 km, SSO","Space Science"
"370","FIREBIRD-2 D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","Montana State University/ University of New Hampshire","University","US","1.5U","01/31/15","Delta II","600 km, SSO","Space Science"
"371","GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment)","University of Michigan","University","US","3U","01/31/15","Delta II","600 km, SSO","Space Technology"
"372","Flock-1e 1","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"373","Flock-1e 10","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"374","Flock-1e 11","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"375","Flock-1e 12","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"376","Flock-1e 13","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"377","Flock-1e 14","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"378","Flock-1e 2","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"379","Flock-1e 3","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"380","Flock-1e 4","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"381","Flock-1e 5","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"382","Flock-1e 6","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"383","Flock-1e 7","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"384","Flock-1e 8","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"385","Flock-1e 9","Planet Labs","Company","US","3U","04/14/15","Falcon 9","ISS","Space Activity"
"386","Arkyd 3 reflight","Planetary Resources","Company","US","3U","04/14/15","Falcon 9","ISS","Space Technology"
"387","Centennial-1","Booz Allen Hamilton","Company","US","1U","04/14/15","Falcon-9","ISS","Space Technology"
"388","GEARRS 2 (GEARRSAT 2, Globalstar Experiment And Risk Reduction Satellite)","Near Space Launch","Company","US","3U","05/20/15","Atlas V","ISS","Space Technology"
"389","OptiCube 1 (O/C, Optical CubeSat)","California Polytechnic State University","University","US","3U","05/20/15","Atlas V","600 km, 98 degree inclination","Space Technology"
"390","OptiCube 2 (O/C, Optical CubeSat)","California Polytechnic State University","University","US","3U","05/20/15","Atlas V","600 km, 98 degree inclination","Space Technology"
"391","OptiCube 3 (O/C, Optical CubeSat)","California Polytechnic State University","University","US","3U","05/20/15","Atlas V","600 km, 98 degree inclination","Space Technology"
"392","BRICSat-P (Ballistic Reinforced Communication Satellite, previously PSat B, ParkinsonSat B)","US Naval Academy","University","US","1.5U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"393","LightSail-A","The Planetary Society","Non-profit","US","3U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"394","PSat A (PSat, ParkinsonSat A, UltraSat1?, NO-84)","US Naval Academy Satellite Lab","University","US","1.5U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"395","USS Langley (Unix Space Server)","US Naval Academy","University","US","3U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"396","AeroCube-8A (IMPACT)","The Aerospace Corporation","Non-profit","US","1.5U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"397","AeroCube-8B (IMPACT)","The Aerospace Corporation","Non-profit","US","1.5U","05/20/15","Atlas V","370 x 700 km, 57-58 degree inclination","Space Technology"
"398","Flock-1f 1","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"399","Flock-1f 2","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"400","Flock-1f 3","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"401","Flock-1f 4","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"402","Flock-1f 5","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"403","Flock-1f 6","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"404","Flock-1f 7","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"405","Flock-1f 8","Planet Labs","Company","US","3U","06/28/15","Falcon 9","ISS","Space Activity"
"406","Deorbitsail","EU FP7 consortium","Agency","UK","3U","07/10/15","PSLV-XL","650 km, 97.8 degree inclination","Space Technology"
"407","Flock-2b 10","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"408","Flock-2b 11","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"409","Flock-2b 12","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"410","Flock-2b 13","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"411","Flock-2b 14","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"412","Flock-2b 1","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"413","Flock-2b 2","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"414","Flock-2b 3","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"415","S-CUBE (S3, Shootingstar Sensing Satellite)","Chiba Institute of Technology","University","Japan","3U","08/19/15","H-2B","ISS","Space Science"
"416","Flock-2b 4","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"417","Flock-2b 5","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"418","Flock-2b 6","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"419","Flock-2b 7","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"420","Flock-2b 8","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"421","Flock-2b 9","Planet Labs","Company","US","3U","08/19/15","H-2B","ISS","Space Activity"
"422","GOMX-3","GomSpace ApS","Company","Denmark","3U","08/19/15","H-IIB","ISS","Space Activity"
"423","AAUSAT5","Aalborg University","University","Denmark","1U","08/19/15","H-2B","ISS","Space Technology"
